,Unnamed: 0,icd9_code,icd10_code,rank,reason
0,0.0,00589,A058,1,"A058 directly maps to 'Other specified bacterial foodborne intoxications', which is semantically identical to the ICD-9 description 'Other bacterial food poisoning'. The term 'intoxication' is often used interchangeably with 'poisoning' in this context."
1,1.0,00589,A054,2,"A054 specifies 'Bacillus cereus intoxication', which is a type of bacterial food poisoning, but the ICD-9 code is 'Other', implying it is not Bacillus cereus. Therefore, it is less specific and only a potential match if the specific bacteria were unknown or not Bacillus cereus."
2,2.0,00845,A0472,1,"ICD-9 'Intestinal infection due to Clostridium difficile' is semantically closest to 'Enterocolitis due to Clostridium difficile, not specified as recurrent'. 'Intestinal infection' is a broader term that encompasses enterocolitis. The ICD-9 code does not specify recurrence, making A0472 a better fit than A0471."
3,3.0,00845,A0471,2,"While 'Enterocolitis' is a specific type of 'Intestinal infection', the ICD-9 code does not specify recurrence, which is the key differentiator for A0471. Therefore, A0472 is a better match."
4,4.0,01480,A1832,1,"Covers tuberculosis of the intestines (enteritis), which is a major component of the ICD-9 description. While it doesn't explicitly cover peritoneum or mesenteric glands, it's the most specific match for the 'intestines' part."
5,5.0,01480,A1839,2,"Covers retroperitoneal tuberculosis. The peritoneum is a retroperitoneal structure, making this a potential match for the 'peritoneum' part of the ICD-9 description. However, it doesn't cover intestines or mesenteric glands."
6,6.0,01485,A1832,1,"A1832 specifically codes 'Tuberculous enteritis', which directly corresponds to 'tuberculosis of intestines' mentioned in the ICD-9 description. While the ICD-9 code also includes peritoneum and mesenteric glands, A1832 is the most specific match for the intestinal component."
7,7.0,01485,A1839,2,"A1839 codes 'Retroperitoneal tuberculosis'. The ICD-9 code mentions 'peritoneum' and 'mesenteric glands', which are located in the retroperitoneal space. However, A1832 is a better match for the 'intestines' part of the ICD-9 description."
8,8.0,01730,A1850,1,"Exact semantic match for 'Tuberculosis of eye, unspecified'."
9,9.0,01730,A1859,2,"Represents 'Other tuberculosis of eye', which is a broader category but still semantically related to unspecified eye tuberculosis."
10,10.0,01730,A1851,3,"Specific type of eye tuberculosis ('episcleritis'), more specific than the unspecified code."
11,11.0,01730,A1852,4,"Specific type of eye tuberculosis ('keratitis'), more specific than the unspecified code."
12,12.0,01730,A1853,5,"Specific type of eye tuberculosis ('chorioretinitis'), more specific than the unspecified code."
13,13.0,01730,A1854,6,"Specific type of eye tuberculosis ('iridocyclitis'), more specific than the unspecified code."
14,14.0,01792,A1889,1,"The ICD-9 code '01792' specifies 'Tuberculosis of other specified organs' with unknown bacteriological/histological status. 'A1889' directly maps to 'Tuberculosis of other sites', which is the closest semantic equivalent for 'other specified organs' in ICD-10, maintaining the unspecified nature of the organism. The 'unknown' status is implicit in the ICD-10 structure for this code."
15,15.0,01792,A1884,2,"The ICD-9 code '01792' specifies 'Tuberculosis of other specified organs'. 'A1884' specifies 'Tuberculosis of heart'. While the heart is an organ, it is a specific organ, whereas the ICD-9 code uses the term 'other specified organs', implying a site other than the common ones like lung, lymph nodes, pleura, etc. 'A1884' is less general than 'A1889' and therefore a less accurate representation of the ICD-9 code's meaning."
16,16.0,01796,A1889,1,"The ICD-9 code specifies 'Tuberculosis of other specified organs'. ICD-10 code A1889 directly maps to 'Tuberculosis of other sites', which is semantically equivalent, covering tuberculosis in locations not otherwise specified."
17,17.0,01796,A1884,2,"The ICD-9 code specifies 'Tuberculosis of other specified organs', but does not explicitly mention the heart. A1884 is specific to the heart, which is a possible 'other specified organ' but not the most general match for the ICD-9 description."
18,18.0,0218,A218,1,Direct equivalent: 'Other specified tularemia' (ICD-9) maps directly to 'Other forms of tularemia' (ICD-10). The 'Other' category is maintained.
19,19.0,0218,A217,2,"Related but less specific: 'Generalized tularemia' is a specific form of tularemia, whereas the ICD-9 code indicates 'Other specified' forms, implying it's not one of the commonly named specific types like ulceroglandular, glandular, oculoglandular, oropharyngeal, pneumonic, or typhoidal. 'Generalized' might be one of those 'other' forms, but 'Other forms' is a better general match."
