icd9_code,icd10_code,rank,reason
00589,A058,1,"A058 directly maps to 'Other specified bacterial foodborne intoxications', which is semantically identical to the ICD-9 description 'Other bacterial food poisoning'. The term 'intoxication' is often used interchangeably with 'poisoning' in this context."
00589,A054,2,"A054 specifies 'Bacillus cereus intoxication', which is a type of bacterial food poisoning, but the ICD-9 code is 'Other', implying it is not Bacillus cereus. Therefore, it is less specific and only a potential match if the specific bacteria were unknown or not Bacillus cereus."
00845,A0472,1,"ICD-9 'Intestinal infection due to Clostridium difficile' is semantically closest to 'Enterocolitis due to Clostridium difficile, not specified as recurrent'. 'Intestinal infection' is a broader term that encompasses enterocolitis. The ICD-9 code does not specify recurrence, making A0472 a better fit than A0471."
00845,A0471,2,"While 'Enterocolitis' is a specific type of 'Intestinal infection', the ICD-9 code does not specify recurrence, which is the key differentiator for A0471. Therefore, A0472 is a better match."
01480,A1832,1,"Covers tuberculosis of the intestines (enteritis), which is a major component of the ICD-9 description. While it doesn't explicitly cover peritoneum or mesenteric glands, it's the most specific match for the 'intestines' part."
01480,A1839,2,"Covers retroperitoneal tuberculosis. The peritoneum is a retroperitoneal structure, making this a potential match for the 'peritoneum' part of the ICD-9 description. However, it doesn't cover intestines or mesenteric glands."
01485,A1832,1,"A1832 specifically codes 'Tuberculous enteritis', which directly corresponds to 'tuberculosis of intestines' mentioned in the ICD-9 description. While the ICD-9 code also includes peritoneum and mesenteric glands, A1832 is the most specific match for the intestinal component."
01485,A1839,2,"A1839 codes 'Retroperitoneal tuberculosis'. The ICD-9 code mentions 'peritoneum' and 'mesenteric glands', which are located in the retroperitoneal space. However, A1832 is a better match for the 'intestines' part of the ICD-9 description."
01730,A1850,1,"Exact semantic match for 'Tuberculosis of eye, unspecified'."
01730,A1859,2,"Represents 'Other tuberculosis of eye', which is a broader category but still semantically related to unspecified eye tuberculosis."
01730,A1851,3,"Specific type of eye tuberculosis ('episcleritis'), more specific than the unspecified code."
01730,A1852,4,"Specific type of eye tuberculosis ('keratitis'), more specific than the unspecified code."
01730,A1853,5,"Specific type of eye tuberculosis ('chorioretinitis'), more specific than the unspecified code."
01730,A1854,6,"Specific type of eye tuberculosis ('iridocyclitis'), more specific than the unspecified code."
01792,A1889,1,"The ICD-9 code '01792' specifies 'Tuberculosis of other specified organs' with unknown bacteriological/histological status. 'A1889' directly maps to 'Tuberculosis of other sites', which is the closest semantic equivalent for 'other specified organs' in ICD-10, maintaining the unspecified nature of the organism. The 'unknown' status is implicit in the ICD-10 structure for this code."
01792,A1884,2,"The ICD-9 code '01792' specifies 'Tuberculosis of other specified organs'. 'A1884' specifies 'Tuberculosis of heart'. While the heart is an organ, it is a specific organ, whereas the ICD-9 code uses the term 'other specified organs', implying a site other than the common ones like lung, lymph nodes, pleura, etc. 'A1884' is less general than 'A1889' and therefore a less accurate representation of the ICD-9 code's meaning."
01796,A1889,1,"The ICD-9 code specifies 'Tuberculosis of other specified organs'. ICD-10 code A1889 directly maps to 'Tuberculosis of other sites', which is semantically equivalent, covering tuberculosis in locations not otherwise specified."
01796,A1884,2,"The ICD-9 code specifies 'Tuberculosis of other specified organs', but does not explicitly mention the heart. A1884 is specific to the heart, which is a possible 'other specified organ' but not the most general match for the ICD-9 description."
0218,A218,1,Direct equivalent: 'Other specified tularemia' (ICD-9) maps directly to 'Other forms of tularemia' (ICD-10). The 'Other' category is maintained.
0218,A217,2,"Related but less specific: 'Generalized tularemia' is a specific form of tularemia, whereas the ICD-9 code indicates 'Other specified' forms, implying it's not one of the commonly named specific types like ulceroglandular, glandular, oculoglandular, oropharyngeal, pneumonic, or typhoidal. 'Generalized' might be one of those 'other' forms, but 'Other forms' is a better general match."
025,A249,1,"A249 is the direct, general category for melioidosis, matching the ICD-9 term precisely."
025,A243,2,"A243 represents 'Other melioidosis', implying specific subtypes not mentioned in the ICD-9 code. It is less specific than A249 for the general term 'Melioidosis'."
0270,A329,1,"This code represents 'Listeriosis, unspecified', which is the most direct and general equivalent to the ICD-9 code 'Listeriosis' (0270) when no further specification is provided."
0270,A3289,2,"This code represents 'Other forms of listeriosis'. While less specific than 'unspecified', it encompasses various manifestations of listeriosis not explicitly listed elsewhere, making it a plausible, albeit broader, match than the more specific codes."
0270,A327,3,"This code represents 'Listerial sepsis'. Sepsis is a potential complication or manifestation of listeriosis, but it is a specific type, not the general condition."
0270,A3211,4,"This code represents 'Listerial meningitis'. Meningitis is a specific manifestation of listeriosis, involving the meninges. It is more specific than the general term 'Listeriosis'."
0270,A3212,5,"This code represents 'Listerial meningoencephalitis'. This is a specific and severe manifestation involving both the meninges and brain parenchyma, more specific than the general term 'Listeriosis'."
0270,A3281,6,"This code represents 'Oculoglandular listeriosis'. This is a specific form affecting the eye and lymph nodes, more specific than the general term 'Listeriosis'."
03289,A3689,1,"This code represents 'Other diphtheritic complications', which directly corresponds to the ICD-9 code 'Other specified diphtheria'. It is the most general and semantically equivalent option."
03289,A3682,2,"This code specifies 'Diphtheritic radiculomyelitis', a specific complication of diphtheria. While related, it is more specific than the ICD-9 code, which covers unspecified diphtheria complications."
03289,A3683,3,"This code specifies 'Diphtheritic polyneuritis', another specific complication of diphtheria. Similar to A3682, it is more specific than the ICD-9 code."
03289,A3684,4,"This code specifies 'Diphtheritic tubulo-interstitial nephropathy', a specific complication of diphtheria affecting the kidney. It is the most specific option and least likely to match the general ICD-9 code."
0340,J020,1,"Direct synonymy: 'Streptococcal sore throat' is a common term for 'Streptococcal pharyngitis'. Pharyngitis refers to inflammation of the pharynx, which is the area commonly affected in a sore throat."
0340,J0300,2,"Related but less specific: 'Streptococcal tonsillitis' involves the tonsils, which are part of the pharynx, but 'sore throat' often implies broader pharyngeal inflammation than just the tonsils. 'Pharyngitis' is a better fit for the general term 'sore throat'."
0398,A4289,1,"The ICD-9 code specifies 'other specified sites' for actinomycotic infection. A4289 directly translates this concept as 'Other forms of actinomycosis', encompassing infections at unspecified or less common sites."
0398,A4281,2,"A4281 specifies 'meningitis', a specific site (central nervous system). While the ICD-9 code is for 'other specified sites', meningitis is a possible, though specific, site of actinomycotic infection."
0398,A4282,3,"A4282 specifies 'encephalitis', another specific site (central nervous system). Similar to A4281, it represents a specific site, making it less general than the ICD-9 code but still related."
0398,A438,4,"A438 refers to 'nocardiosis', which is a different type of bacterial infection than 'actinomycosis' specified in the ICD-9 code. This code is semantically incorrect despite the similar structure."
04149,B9629,1,"The ICD-9 code 'Other and unspecified Escherichia coli' implies a category that includes both 'other' specified types and 'unspecified' types. B9629 ('Other Escherichia coli') is a better semantic match for the 'Other' part of the ICD-9 description than B9620 ('Unspecified Escherichia coli'). While the ICD-9 code includes 'unspecified', B9629 captures the 'Other' aspect more directly."
04149,B9620,2,"The ICD-9 code 'Other and unspecified Escherichia coli' also includes 'unspecified'. B9620 ('Unspecified Escherichia coli') matches this part of the description, although B9629 is a better fit for the 'Other' component."
04181,A493,1,This code directly matches the organism 'mycoplasma' and the unspecified site mentioned in the ICD-9 description. It is the most semantically equivalent code.
04181,B960,2,"This code captures the 'mycoplasma' infection as a cause of other diseases, which aligns with the 'in conditions classified elsewhere' part of the ICD-9 description. However, it doesn't explicitly state the site is unspecified, making A493 a slightly better fit for the full ICD-9 description."
04619,A8100,1,This code directly corresponds to the 'unspecified' part of the ICD-9 description. It is the most direct semantic match for 'unspecified Creutzfeldt-Jakob disease'.
04619,A8109,2,"This code corresponds to the 'Other' part of the ICD-9 description. While 'Other' is present, the ICD-9 code explicitly includes 'unspecified', making A8100 a better match."
0498,A858,1,"This code directly corresponds to the 'Other specified' category in the ICD-9 description, indicating a viral CNS disease that is not otherwise specified or classified elsewhere, matching the 'Other specified' nature of the ICD-9 code."
0498,A888,2,"This code represents 'Other specified viral infections of the central nervous system'. While 'encephalitis' is often implied in CNS viral infections, this code is broader than A858 but still captures the core meaning of a specified viral CNS disease, making it a plausible, though less specific, match."
0498,A850,3,"This code specifies 'Enteroviral encephalitis'. While enteroviruses are a type of virus, the ICD-9 code is 'non-arthropod-borne', which doesn't exclude enteroviruses, but this code is too specific as the ICD-9 code is for 'Other specified' diseases, not a particular type like enteroviral."
0498,A851,4,"This code specifies 'Adenoviral encephalitis'. Similar to A850, this is too specific. The ICD-9 code is for 'Other specified' non-arthropod-borne viral CNS diseases, not specifically adenoviral ones."
0499,A89,1,"A89 directly maps to 'Unspecified viral infection of central nervous system', which closely mirrors the ICD-9 description 'Unspecified non-arthropod-borne viral diseases of central nervous system'. The term 'infection' is a reasonable synonym for 'diseases' in this context, and 'non-arthropod-borne' is implied by the lack of specification."
0499,A86,2,"A86 specifies 'encephalitis', which is a type of viral disease of the central nervous system, but it is more specific than the ICD-9 code 'Unspecified... diseases'. While related, it doesn't fully capture the breadth of 'diseases' in the ICD-9 code."
0527,B0189,1,"This code directly maps the 'other specified complications' aspect of the ICD-9 code. While the ICD-9 code implies chickenpox (varicella), B0189 is the most general ICD-10 code that captures the presence of unspecified complications associated with varicella."
